Band,Art (Festival/Konzert),Festival,Wo,Wann
Limp Bizkit,,Rock im Park,Nürnberg,09.06.2013
Linkin Park,,,,
Lumpenpack,,,,
Madsen,,Southside,Neuhausen ob Eck,22.06.2018
Madsen,,,,
Madsen,,,,
Madsen,,,,
Madsen,,,,
Mando Diao,,,,
Mando Diao,,,,
Mando Diao,,,,
Metallica,,,,
Meute,,,,
Monsters of Liedermaching,,,,
Ohrbooten,,,,
Ohrbooten,,Happiness Festival,Straubenhardt,07.2013
Ohrbooten,,Unifest,Karlsruhe,06.2015
Olli Schulz,,,,
Patrice,,,,
Pennywise,,,,
Prinz Pi,,Happiness Festival,Straubenhardt,07.2017
Prinz Pi,,,,
Prophets of Rage,,,,
Rammstein,,Rock im Park,Nürnberg,02.06.2017
Red Hot Chilli Peppers,,Rock im Park,Nürnberg,03.06.2016
Rise Against,,Rock im Park,Nürnberg,06.06.2015
Rise Against,,,,
Sacrety,,,,
Samy Deluxe,,,,
Schmutzki,,Southside,Neuhausen ob Eck,21.06.2019
Schmutzki,,,,
SDP,,Happiness Festival,Straubenhardt,07.2016
SDP,,Openin Festival,Mannheim,29.03.2014
SDP,,Rock im Park,Nürnberg,03.06.2016
Sepultura,,,,
Simple Minds,,,,
Simple Plan,,,,
Simple Plan,,,,
Slash feat. Myles Kennedy & the conspirators,,,,
Slipknot,,Rock im Park,Nürnberg,05.06.2015
Social Distortion,,,,
Sportfreunde Stiller (4x),,,,
Sportfreunde Stiller,,Rock im Park,Nürnberg,08.06.2013
Stone Sour,,Rock im Park,Nürnberg,07.06.2013
Subway to Sally,,,,
Suicide Silence,,,,
Sum 41,,Rock im Park,Nürnberg,02.06.2017
Sum 41,,,,
System of a Down,,Rock im Park,Nürnberg,02.06.2017
System of a Down,,,,
Tenacious D,,Rock im Park,Nürnberg,03.06.2016
The Boss Hoss,,Rock im Park,Nürnberg,07.06.2013
The Boss Hoss,,,,
The Offspring,,,,
The Prodigy,,Rock im Park,Nürnberg,07.06.2015
The Prodigy,,Southside,Neuhausen ob Eck,22.06.2018
The Prodigy,,,,
Turbostaat,,,,
Volbeat,,,,
Volbeat,,Rock im Park,Nürnberg,07.06.2013
Volbeat,,,,
Von Wegen Lisbeth,,Happiness Festival,Straubenhardt,07.2017
Wanda,,Southside,Neuhausen ob Eck,22.06.2018
Wanda,,,,
Wanda,,,,
,,,,
,,,,
Flogging Molly,,Happiness Festival,Straubenhardt,07.2017
Simple PLan,,Rock im Park,Nürnberg,02.06.2017
Bilderbuch,,Southside,Neuhausen ob Eck,21.06.2019
Macklemore,,Southside,Neuhausen ob Eck,21.06.2019
Montreal,,Southside,Neuhausen ob Eck,21.06.2019
Kings of Leon,,Southside,Neuhausen ob Eck,17.06.2022
The Killers,,Southside,Neuhausen ob Eck,17.06.2022
Bring Me The Horizon,,Southside,Neuhausen ob Eck,17.06.2022
Deichkind,,Southside,Neuhausen ob Eck,17.06.2022
Rise Against,,Southside,Neuhausen ob Eck,17.06.2022
Electric Callboy,,Southside,Neuhausen ob Eck,17.06.2022
Ferdinand FKA Left Boy,,Southside,Neuhausen ob Eck,17.06.2022
Frittenbude,,Southside,Neuhausen ob Eck,16.06.2023
Mando Diao,,Southside,Neuhausen ob Eck,17.06.2022
Provinz,,Southside,Neuhausen ob Eck,17.06.2022
Von Wegen Lisbeth,,Southside,Neuhausen ob Eck,17.06.2022
Die Ärzte,,Southside,Neuhausen ob Eck,16.06.2023
Kraftklub,,Southside,Neuhausen ob Eck,16.06.2023
Billy Talent,,Southside,Neuhausen ob Eck,16.06.2023
Queens Of The Stone Age,,Southside,Neuhausen ob Eck,16.06.2023
Donots,,Southside,Neuhausen ob Eck,16.06.2023
Provinz,,Southside,Neuhausen ob Eck,16.06.2023
Schmutzki,,Southside,Neuhausen ob Eck,16.06.2023
,,,,
,,,,
Querbeat,,Southside,Neuhausen ob Eck,20.06.2024
Sum 41,,Southside,Neuhausen ob Eck,21.06.2024
The Offspring,,Southside,Neuhausen ob Eck,21.06.2024
Deichkind,,Southside,Neuhausen ob Eck,21.06.2024
Silverstein,,Southside,Neuhausen ob Eck,22.06.2024
Ed Sheeran,,Southside,Neuhausen ob Eck,22.06.2024
Leoniden,,Southside,Neuhausen ob Eck,23.06.2024
The Hives,,Southside,Neuhausen ob Eck,23.06.2024
Avril Lavigne,,Southside,Neuhausen ob Eck,23.06.2024
Sido,,Southside,Neuhausen ob Eck,23.06.2024
